EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL217,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),98.78 %,100.00 %,100.00 %,2,2,0,0
EL218,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),96.12 %,96.43 %,98.02 %,3,2,1,0
EL219,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),92.55 %,87.61 %,97.32 %,9,1,8,0
EL220,19,14 St - Union Sq - 4/5/6/L/N/Q/R/W Line(s),99.26 %,100.00 %,100.00 %,2,1,1,0
EL221,17,14 St - 8 Av - A/C/E/L Line(s),96.89 %,98.21 %,96.36 %,7,1,6,1
EL222,17,14 St - 8 Av - A/C/E/L Line(s),97.96 %,100.00 %,94.92 %,4,3,1,0
EL223,17,14 St - 8 Av - A/C/E/L Line(s),96.55 %,100.00 %,96.88 %,7,3,4,0
EL224,17,14 St - 8 Av - A/C/E/L Line(s),98.13 %,100.00 %,96.63 %,5,1,4,0
EL225,17,34 St - Penn - A/C/E Line(s),94.32 %,95.58 %,95.09 %,4,1,3,1
EL226,17,34 St - Penn - A/C/E Line(s),98.19 %,100.00 %,97.66 %,3,1,2,1
EL227,17,34 St - Penn - A/C/E Line(s),99.09 %,100.00 %,100.00 %,1,1,0,0
EL228,17,34 St - Penn - A/C/E Line(s),98.67 %,100.00 %,98.86 %,4,2,2,0
EL229,16,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),98.13 %,100.00 %,99.51 %,5,2,3,0
EL230,16,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),89.02 %,94.08 %,87.65 %,11,1,10,1
EL231X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL232,13,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),98.10 %,100.00 %,100.00 %,3,2,1,1
EL233,13,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),90.32 %,82.21 %,98.60 %,10,1,9,0
EL234,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),98.69 %,100.00 %,96.88 %,2,2,0,0
EL235,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),98.09 %,95.00 %,100.00 %,6,1,5,0
EL236,10,47-50 St - Rockefeller Ctr - B/D/F/M Line(s),99.23 %,99.48 %,100.00 %,1,1,0,0
EL237,20,66 St - Lincoln Center - 1 Line(s),95.81 %,95.39 %,95.98 %,4,0,4,0
EL238,20,66 St - Lincoln Center - 1 Line(s),93.93 %,91.78 %,97.70 %,7,1,6,0
EL239,16,72 St - 1/2/3 Line(s),99.36 %,100.00 %,100.00 %,1,1,0,0
EL23X,,Chambers St/WTC/Park Place - A/C/E/2/3 Line(s),96.74 %,91.89 %,100.00 %,,,,
EL240,16,72 St - 1/2/3 Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL244,18,42 St - Grand Central - 4/5/6/7/S Line(s),98.09 %,98.37 %,99.11 %,4,2,2,0
EL245,14,Lexington Av / 51 St - E/M/6 Line(s),97.93 %,97.26 %,100.00 %,5,1,4,0
EL247,2,96 St / 2 Av - Q Line(s),99.56 %,100.00 %,100.00 %,1,1,0,0
EL248,2,96 St / 2 Av - Q Line(s),99.55 %,100.00 %,100.00 %,2,1,1,0
EL249,2,86 St / 2 Av - Q Line(s),99.04 %,100.00 %,100.00 %,1,1,0,0
EL250,2,86 St / 2 Av - Q Line(s),98.36 %,97.96 %,99.69 %,5,1,4,0
EL259,2,72 St / 2 Av - Q Line(s),99.49 %,100.00 %,100.00 %,1,1,0,0
EL262,2,72 St / 2 Av - Q Line(s),98.16 %,100.00 %,98.97 %,4,4,0,0
EL264,2,72 St / 2 Av - Q Line(s),96.19 %,95.27 %,96.07 %,5,3,2,1
EL265,2,72 St / 2 Av - Q Line(s),99.07 %,100.00 %,100.00 %,2,2,0,0
EL266,2,72 St / 2 Av - Q Line(s),88.75 %,87.77 %,92.86 %,14,3,11,0
EL267,2,72 St / 2 Av - Q Line(s),99.37 %,99.71 %,100.00 %,2,2,0,0
EL268X,,49 St - N/Q/R/W Line(s),95.73 %,95.54 %,96.43 %,,,,
EL276X,,59 St - Columbus Cir - 1/A/B/C/D Line(s),86.43 %,88.05 %,85.71 %,,,,
EL277,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),98.80 %,100.00 %,100.00 %,2,2,0,0
EL278,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),97.35 %,100.00 %,96.43 %,4,2,2,0
EL279,10,59 St - Columbus Cir - 1/A/B/C/D Line(s),99.24 %,100.00 %,100.00 %,1,1,0,0
EL279X,,28 St - 6 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL280,9,59 St - Columbus Cir - 1/A/B/C/D Line(s),96.86 %,97.68 %,92.86 %,12,1,11,0
EL288X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),0.00 %,0.00 %,0.00 %,,,,
EL289X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),97.49 %,96.43 %,100.00 %,,,,
EL290X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),82.24 %,78.57 %,88.54 %,,,,
EL291X,,Times Sq - 42 St / Port Authority Bus Terminal Station - N/Q/R/S/W/1/2/3/7 Line(s),94.63 %,95.69 %,92.86 %,,,,
EL298,3,23 St - 6 Line(s),99.00 %,97.24 %,100.00 %,2,0,2,0
EL299,3,23 St - 6 Line(s),99.53 %,97.41 %,100.00 %,1,0,1,0
EL300X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.18 %,98.88 %,100.00 %,,,,
EL301,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),88.95 %,88.61 %,91.00 %,13,2,11,0
EL302,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),92.34 %,93.12 %,93.75 %,8,2,6,0
EL303,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.19 %,100.00 %,100.00 %,1,1,0,0
EL304,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),97.98 %,100.00 %,97.32 %,3,3,0,0
EL305,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.33 %,98.39 %,98.67 %,7,6,1,0
EL306,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),97.17 %,99.62 %,99.15 %,3,2,1,0
EL307,15,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.60 %,99.98 %,100.00 %,3,1,2,0
EL314,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),97.20 %,97.57 %,96.58 %,5,1,4,2
EL315,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),94.92 %,97.83 %,94.96 %,4,1,3,0
EL316,2,Brooklyn Bridge - City Hall - Chambers St - 4/5/6/J/Z Line(s),96.74 %,96.43 %,96.43 %,2,1,1,0
EL317,24,Borough Hall / Court St - 2/3/4/5/R Line(s),98.82 %,100.00 %,100.00 %,3,3,0,0
EL318,24,Borough Hall / Court St - 2/3/4/5/R Line(s),96.83 %,99.66 %,99.78 %,5,2,3,0
EL319,22,Flatbush Av Brooklyn College - 2/5 Line(s),97.39 %,99.37 %,100.00 %,7,2,5,1
EL320,21,Church Av - 2/5 Line(s),96.19 %,96.12 %,96.50 %,6,1,5,1
EL321,21,Church Av - 2/5 Line(s),98.16 %,100.00 %,100.00 %,4,1,3,0
EL322,15,Crown Hts - Utica Av - 3/4 Line(s),98.63 %,100.00 %,100.00 %,3,2,1,0
EL323,15,Crown Hts - Utica Av - 3/4 Line(s),98.89 %,100.00 %,99.35 %,3,1,2,0
EL324,18,Canal St - J/Z/N/Q/R/W/6 Line(s),96.70 %,99.46 %,96.59 %,4,2,2,0
EL325,18,Canal St - J/Z/N/Q/R/W/6 Line(s),98.72 %,98.39 %,100.00 %,2,1,1,0
EL326,1,Chambers St/WTC/Park Place - A/C/E/2/3 Line(s),99.43 %,100.00 %,100.00 %,1,1,0,0
EL328,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),94.97 %,96.43 %,95.38 %,8,5,3,0
EL329,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),95.36 %,95.82 %,94.48 %,9,3,6,2
EL330,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),97.28 %,98.21 %,97.71 %,7,4,3,0
EL331,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),93.93 %,90.29 %,97.35 %,13,4,9,0
EL332,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),97.69 %,97.62 %,100.00 %,7,3,4,0
EL333,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),89.83 %,92.19 %,88.91 %,15,2,13,4
EL334,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),98.63 %,100.00 %,100.00 %,6,1,5,0
EL335,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),95.27 %,99.73 %,93.75 %,8,1,7,2
EL336,10,Chambers St - 1/2/3 Line(s),97.58 %,97.34 %,100.00 %,4,3,1,0
EL337,10,Chambers St - 1/2/3 Line(s),98.16 %,99.89 %,97.47 %,4,3,1,0
EL338,10,Chambers St - 1/2/3 Line(s),98.61 %,100.00 %,100.00 %,7,2,5,0
EL339,20,Franklin Av - C/S Line(s),99.16 %,100.00 %,100.00 %,1,1,0,0
EL340,20,Franklin Av - C/S Line(s),75.07 %,75.00 %,83.56 %,7,3,4,0
EL341,13,Euclid Av - A/C Line(s),97.61 %,97.74 %,96.70 %,3,1,2,0
EL342,13,Euclid Av - A/C Line(s),98.62 %,97.88 %,100.00 %,4,1,3,1
EL343,13,Euclid Av - A/C Line(s),99.28 %,100.00 %,100.00 %,1,1,0,0
EL344,5,Utica Av - A/C Line(s),97.34 %,98.32 %,97.77 %,5,2,3,0
EL345,5,Utica Av - A/C Line(s),98.56 %,100.00 %,100.00 %,2,2,0,0
EL346,5,Utica Av - A/C Line(s),97.46 %,99.45 %,99.33 %,7,2,5,0
EL34X,,34 St - Penn - 1/2/3 Line(s),99.03 %,100.00 %,100.10 %,,,,
EL370,14,Dekalb Av - B/Q/R Line(s),99.00 %,100.00 %,100.00 %,1,1,0,0
EL371,14,Dekalb Av - B/Q/R Line(s),98.61 %,100.00 %,99.11 %,4,1,3,0
EL372,14,Dekalb Av - B/Q/R Line(s),98.51 %,100.00 %,99.33 %,4,1,3,0
EL373,11,Church Av - F/G Line(s),96.30 %,99.63 %,96.72 %,6,1,5,0
EL374,11,Church Av - F/G Line(s),98.09 %,97.49 %,97.38 %,4,1,3,1
EL375,11,Church Av - F/G Line(s),98.96 %,100.00 %,100.00 %,3,1,2,0
EL376,7,Bay Parkway - D Line(s),95.23 %,95.02 %,98.38 %,8,1,7,0
EL377,7,Bay Parkway - D Line(s),98.08 %,99.76 %,94.97 %,3,1,2,0
EL378,7,Bay Parkway - D Line(s),98.08 %,100.00 %,100.00 %,2,1,1,0
EL382,16,Prospect Park - B/Q/S Line(s),87.53 %,81.77 %,90.58 %,12,1,11,0
EL383,16,Prospect Park - B/Q/S Line(s),92.64 %,97.10 %,97.45 %,16,1,15,0
EL391,15,Marcy Av - J/M/Z Line(s),98.58 %,97.90 %,100.00 %,6,1,5,0
EL392,15,Marcy Av - J/M/Z Line(s),98.42 %,99.26 %,99.93 %,3,1,2,0
EL393,16,Flushing Av - J/M Line(s),93.77 %,95.21 %,91.71 %,12,1,11,0
EL394,16,Flushing Av - J/M Line(s),98.72 %,100.00 %,99.93 %,3,1,2,0
EL395,16,Flushing Av - J/M Line(s),96.67 %,96.43 %,94.54 %,4,1,3,0
EL396,11,Myrtle Av / Wyckoff Av - L/M Line(s),99.03 %,99.48 %,100.00 %,2,1,1,0
EL397,11,Myrtle Av / Wyckoff Av - L/M Line(s),82.80 %,82.14 %,85.71 %,4,1,3,0
EL398,11,Myrtle Av / Wyckoff Av - L/M Line(s),82.03 %,80.49 %,85.71 %,5,1,4,0
EL401,4,Lexington Av / 63 St - F/Q Line(s),98.42 %,99.11 %,98.96 %,4,2,2,0
EL402,30,Lexington Av / 63 St - F/Q Line(s),97.52 %,97.32 %,100.00 %,4,1,3,0
EL403,30,Roosevelt Island - F Line(s),96.50 %,99.55 %,92.86 %,3,1,2,0
EL404,30,Roosevelt Island - F Line(s),98.80 %,100.00 %,96.80 %,2,1,1,0
EL405,2,21 St - Queensbridge - F Line(s),98.58 %,100.00 %,100.00 %,4,0,4,0
EL406,2,21 St - Queensbridge - F Line(s),99.50 %,100.00 %,100.00 %,1,1,0,0
EL407,2,21 St - Queensbridge - F Line(s),98.28 %,100.00 %,98.63 %,2,2,0,0
EL408,2,Jamaica - Van Wyck - E Line(s),97.47 %,100.00 %,100.00 %,5,3,2,0
EL409,2,Jamaica - Van Wyck - E Line(s),98.60 %,100.00 %,100.00 %,2,2,0,0
EL411,31,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),99.04 %,100.00 %,98.62 %,2,1,1,0
EL412,31,Jamaica Center Parsons/Archer - E/J Line(s),96.26 %,100.00 %,96.65 %,5,3,2,1
EL413,31,Jamaica Center Parsons/Archer - E/J Line(s),95.94 %,93.47 %,100.00 %,6,2,4,0
EL414,19,Flushing Main St - 7 Line(s),96.57 %,97.17 %,94.20 %,5,1,4,0
EL415X,,61 St - Woodside - 7 Line(s),99.88 %,99.21 %,100.00 %,,,,
EL416X,,61 St - Woodside - 7 Line(s),99.03 %,100.00 %,99.55 %,,,,
EL417X,,61 St - Woodside - 7 Line(s),98.65 %,100.00 %,96.18 %,,,,
EL420,13,Jackson Hts-Roosevelt Av-74 St - E/F/M/R/7 Line(s),94.35 %,94.49 %,92.90 %,8,1,7,0
EL421,13,Jackson Hts-Roosevelt Av-74 St - E/F/M/R/7 Line(s),97.74 %,99.48 %,98.28 %,5,3,2,0
EL422,13,Jackson Hts-Roosevelt Av-74 St - E/F/M/R/7 Line(s),99.27 %,100.00 %,100.00 %,1,1,0,0
EL423,13,Jackson Hts-Roosevelt Av-74 St - E/F/M/R/7 Line(s),99.66 %,100.00 %,100.00 %,2,0,2,0
EL425,12,Junction Blvd - 7 Line(s),97.21 %,99.00 %,97.77 %,5,1,4,0
EL426,12,Junction Blvd - 7 Line(s),95.30 %,94.64 %,97.21 %,4,1,3,0
EL427,12,Junction Blvd - 7 Line(s),97.14 %,95.88 %,100.00 %,6,2,4,0
EL428,13,Queens Plaza - E/R/M Line(s),99.16 %,100.00 %,100.00 %,2,2,0,0
EL429,13,Queens Plaza - E/R/M Line(s),95.50 %,97.95 %,100.00 %,6,2,4,0
EL430,13,Queens Plaza - E/R/M Line(s),99.71 %,100.00 %,100.00 %,1,1,0,0
EL431,14,179 St - Jamaica - F Line(s),96.78 %,94.54 %,98.66 %,3,0,3,0
EL432,14,179 St - Jamaica - F Line(s),92.39 %,89.84 %,93.96 %,9,3,6,0
EL433,14,179 St - Jamaica - F Line(s),99.71 %,100.00 %,98.28 %,1,0,1,0
EL434,11,Kew Gardens / Union Tpk - E/F Line(s),98.64 %,100.00 %,100.00 %,3,2,1,0
EL435,11,Kew Gardens / Union Tpk - E/F Line(s),98.19 %,100.00 %,98.32 %,3,1,2,0
EL436,11,Kew Gardens / Union Tpk - E/F Line(s),99.65 %,98.37 %,100.00 %,1,0,1,0
EL437,5,Forest Hills - 71 Av - E/F/R/M Line(s),96.08 %,96.47 %,94.34 %,7,1,6,0
EL438,5,Forest Hills - 71 Av - E/F/R/M Line(s),98.12 %,100.00 %,97.17 %,3,1,2,0
EL439,5,Forest Hills - 71 Av - E/F/R/M Line(s),99.29 %,99.09 %,100.00 %,2,0,2,0
EL440,3,Lexington Av / 63 St - F/Q Line(s),96.63 %,95.85 %,97.42 %,15,6,9,0
EL441,3,Lexington Av / 63 St - F/Q Line(s),96.12 %,97.68 %,91.86 %,10,4,6,2
EL442,3,Lexington Av / 63 St - F/Q Line(s),97.33 %,99.30 %,99.51 %,14,4,10,0
EL443,3,Lexington Av / 63 St - F/Q Line(s),95.92 %,100.00 %,95.38 %,6,4,2,0
EL444,3,Lexington Av / 63 St - F/Q Line(s),96.60 %,98.56 %,95.83 %,6,3,3,0
EL445X,,Court Square / 23 St - G/7/E/M Line(s),97.22 %,100.00 %,94.73 %,,,,
EL446,8,Court Square / 23 St - G/7/E/M Line(s),98.77 %,100.00 %,100.00 %,3,1,2,1
EL447,8,Court Square / 23 St - G/7/E/M Line(s),99.42 %,100.00 %,100.00 %,1,1,0,0
EL448X,,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),100.00 %,100.00 %,100.00 %,,,,
EL449X,,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),98.09 %,97.37 %,96.43 %,,,,
EL450X,,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),100.00 %,100.00 %,100.00 %,,,,
EL462,1,Ozone Park / Lefferts Blvd - A Line(s),93.74 %,92.12 %,90.82 %,6,2,4,0
EL463,1,Ozone Park / Lefferts Blvd - A Line(s),98.61 %,98.59 %,100.00 %,3,2,1,0
EL489X,,Aqueduct Racetrack - A Line(s),0.00 %,0.00 %,0.00 %,,,,
EL490X,,Howard Beach - JFK Airport - A Line(s),100.00 %,100.00 %,100.00 %,,,,
EL491X,,Howard Beach - JFK Airport - A Line(s),100.00 %,100.00 %,100.00 %,,,,
EL492X,,Howard Beach - JFK Airport - A Line(s),97.98 %,96.43 %,100.00 %,,,,
EL493X,,Howard Beach - JFK Airport - A Line(s),100.00 %,100.00 %,100.00 %,,,,
EL494X,,Howard Beach - JFK Airport - A Line(s),100.00 %,100.00 %,100.00 %,,,,
EL495X,,Howard Beach - JFK Airport - A Line(s),98.46 %,99.88 %,100.00 %,,,,
EL497,7,Far Rockaway - Mott Av - A Line(s),99.12 %,100.00 %,96.43 %,2,0,2,1
EL498,7,Far Rockaway - Mott Av - A Line(s),99.39 %,100.00 %,100.00 %,1,1,0,0
EL600,4,34 St - Hudson Yards - 7 Line(s),100.00 %,100.00 %,100.00 %,1,1,0,0
EL601,4,34 St - Hudson Yards - 7 Line(s),87.43 %,89.29 %,89.29 %,2,1,1,0
EL602,4,34 St - Hudson Yards - 7 Line(s),95.49 %,97.14 %,92.01 %,10,3,7,0
EL603,4,34 St - Hudson Yards - 7 Line(s),99.17 %,100.00 %,100.00 %,2,1,1,0
EL700X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),94.15 %,92.86 %,94.57 %,,,,
EL701,14,Coney Island Stillwell Av - D/F/N/Q Line(s),99.43 %,100.00 %,100.00 %,1,1,0,0
EL702,14,Coney Island Stillwell Av - D/F/N/Q Line(s),98.83 %,100.00 %,98.96 %,2,1,1,1
EL706,9,Jay St - MetroTech - A/C/F/R Line(s),98.99 %,99.22 %,99.66 %,8,1,7,0
EL707,9,Jay St - MetroTech - A/C/F/R Line(s),97.38 %,98.96 %,99.93 %,6,1,5,0
EL708,9,Jay St - MetroTech - A/C/F/R Line(s),97.83 %,100.00 %,99.11 %,6,1,5,0
EL709,9,Jay St - MetroTech - A/C/F/R Line(s),98.26 %,100.00 %,100.00 %,4,1,3,0
EL710,12,Bowling Green - 4/5 Line(s),97.07 %,99.04 %,97.96 %,7,1,6,0
EL711,12,Bowling Green - 4/5 Line(s),96.72 %,98.14 %,98.29 %,5,0,5,1
EL712,1,WTC Cortlandt - 1 Line(s),99.22 %,100.00 %,100.00 %,1,1,0,0
EL713,1,WTC Cortlandt - 1 Line(s),99.88 %,100.00 %,100.00 %,1,1,0,0
EL716,5,Fulton St - A/C/J/Z/2/3/4/5 Line(s),80.18 %,81.71 %,81.98 %,10,1,9,1
EL717X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL718X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL719,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),97.96 %,100.00 %,100.00 %,7,1,6,2
EL720,5,Fulton St - A/C/J/Z/2/3/4/5 Line(s),94.58 %,98.81 %,97.87 %,12,2,10,1
EL721,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),94.06 %,95.77 %,96.43 %,12,2,10,0
EL722,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),99.07 %,100.00 %,100.00 %,4,1,3,0
